Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,353868 BCE,209.2
World,OWID_WRL,352463 BCE,209.4
World,OWID_WRL,351225 BCE,216.2
World,OWID_WRL,349726 BCE,221.1
World,OWID_WRL,347189 BCE,220.3
World,OWID_WRL,345595 BCE,211.9
World,OWID_WRL,344371 BCE,204.8
World,OWID_WRL,343051 BCE,205.2
World,OWID_WRL,341974 BCE,200.7
World,OWID_WRL,340842 BCE,250.1
World,OWID_WRL,338785 BCE,234.2
World,OWID_WRL,338034 BCE,239.6
World,OWID_WRL,337041 BCE,241.9
World,OWID_WRL,336264 BCE,255.7
World,OWID_WRL,335567 BCE,270.5
World,OWID_WRL,334918 BCE,278.6
World,OWID_WRL,334428 BCE,285.8
World,OWID_WRL,333758 BCE,278.1
World,OWID_WRL,333152 BCE,298.6
World,OWID_WRL,332594 BCE,288.4
World,OWID_WRL,332399 BCE,289.1
World,OWID_WRL,332048 BCE,282.4
World,OWID_WRL,331550 BCE,273.1
World,OWID_WRL,330849 BCE,272.6
World,OWID_WRL,330194 BCE,271.7
World,OWID_WRL,329344 BCE,265
World,OWID_WRL,328103 BCE,275.1
World,OWID_WRL,327464 BCE,271.9
World,OWID_WRL,326821 BCE,270.1
World,OWID_WRL,326137 BCE,266.1
World,OWID_WRL,325486 BCE,264
World,OWID_WRL,324641 BCE,266.2
World,OWID_WRL,323873 BCE,260.5
World,OWID_WRL,323057 BCE,260.3
World,OWID_WRL,322217 BCE,260.4
World,OWID_WRL,321433 BCE,257.2
World,OWID_WRL,319867 BCE,249.2
World,OWID_WRL,318966 BCE,255.8
World,OWID_WRL,317880 BCE,233.4
World,OWID_WRL,316903 BCE,245.2
World,OWID_WRL,315983 BCE,251.6
World,OWID_WRL,315200 BCE,272.6
World,OWID_WRL,314501 BCE,246.8
World,OWID_WRL,313708 BCE,257.1
World,OWID_WRL,312886 BCE,256.7
World,OWID_WRL,312102 BCE,251.6
