text,retweets,replies,tweet_interactions
5,1908,909,2817
11,17469,6531,24000
19,31903,6796,38699
27,48319,13852,62171
2,457,381,838
4,4682,1028,5710
3,114601,11407,126008
14,48824,5909,54733
9,7304,2518,9822
8,12508,2190,14698
7,799,638,1437
18,4895,3977,8872
3,212,291,503
7,37552,5462,43014
6,3495,2038,5533
14,10358,6613,16971
19,14478,5406,19884
1,43,74,117
8,1074,1068,2142
11,3318,2023,5341
6,2495,2361,4856
2,4240,1284,5524
11,8131,4288,12419
3,395,377,772
2,303,462,765
7,1762,1367,3129
30,76027,16232,92259
5,2620,1119,3739
16,11852,3460,15312
8,24447,4911,29358
10,5358,2683,8041
8,3206,1225,4431
22,45368,5274,50642
14,20034,4120,24154
9,7461,2174,9635
8,6422,1623,8045
5,3750,1262,5012
11,5863,2808,8671
5,24439,3883,28322
18,10059,4188,14247
19,9773,6373,16146
33,32282,8034,40316
8,10898,3670,14568
7,705,653,1358
2,8142,1122,9264
2,64,154,218
30,133494,22746,156240
6,18584,4234,22818
8,78791,10916,89707
4,39690,5027,44717
41,52087,20482,72569
16,27901,8459,36360
7,5092,3607,8699
6,1515,1199,2714
8,602,691,1293
5,1590,696,2286
26,76765,10583,87348
9,22532,13666,36198
2,322,588,910
7,23448,6915,30363
7,4916,2296,7212
11,3373,2176,5549
8,8661,2411,11072
10,4588,2901,7489
6,1587,1628,3215
17,32995,5228,38223
15,32923,7758,40681
3,1606,690,2296
11,13627,3808,17435
4,5862,1447,7309
4,753,617,1370
4,843,544,1387
8,9506,2772,12278
6,165840,6943,172783
5,19056,4088,23144
16,14781,6462,21243
6,793,753,1546
6,18260,6609,24869
27,3697,2300,5997
29,26457,7854,34311
21,37151,7289,44440
1,71,98,169
9,1026,780,1806
3,269,345,614
4,2141,978,3119
9,1436,1019,2455
14,38870,9736,48606
4,9274,1438,10712
1,127,146,273
1,199,150,349
6,596,1016,1612
1,44,85,129
1,1511,718,2229
2,93,122,215
5,3452,1577,5029
3,4455,791,5246
4,7727,2911,10638
8,19413,2934,22347
4,2342,1624,3966
16,56718,6281,62999
5,1616,1205,2821
7,418,477,895
5,30661,2889,33550
10,3911,4488,8399
8,95199,7143,102342
7,2041,1004,3045
2,4380,662,5042
8,51963,10293,62256
26,12413,4833,17246
22,4752,3194,7946
19,1234,1227,2461
6,1414,1120,2534
14,18958,23771,42729
2,6571,2370,8941
2,413,287,700
3,2263,1548,3811
7,9653,2771,12424
6,3746,1445,5191
2,4579,1054,5633
6,14217,2011,16228
10,5667,2453,8120
21,3413,2054,5467
17,3468,2338,5806
3,10892,1907,12799
4,5931,2287,8218
12,3873,2007,5880
12,2803,1620,4423
3,65597,3308,68905
2,131,189,320
15,23648,5282,28930
12,85597,5218,90815
