date,text,retweets,replies,favorites,tweet_interactions
2016-10-20,15,25498,3179,62186,90863
2016-10-22,1,5732,443,10277,16452
2016-10-23,2,1138,327,6123,7588
2016-10-24,1,14,37,312,363
2016-10-26,2,2539,1005,26730,30274
2016-10-27,4,3310,727,13691,17728
2016-10-29,6,8666,1830,32089,42585
2016-11-02,1,11,12,149,172
2016-11-03,4,3279,367,7018,10664
2016-11-04,25,6966,1644,37335,45945
2016-11-05,7,613,199,4057,4869
2016-11-06,1,5246,714,21231,27191
2016-11-07,1,25,29,289,343
2016-11-15,1,2004,304,9346,11654
2016-11-16,5,4580,786,18684,24050
2016-11-17,2,2759,470,15747,18976
2016-11-18,1,45,31,281,357
2016-11-19,7,8398,971,18224,27593
2016-11-22,5,4752,835,16888,22475
2016-11-23,2,25,106,371,502
2016-11-27,1,40,38,336,414
2016-12-01,1,5834,544,15151,21529
2016-12-07,1,4594,651,9719,14964
2016-12-08,1,2812,138,11564,14514
2016-12-09,1,11891,800,34035,46726
2016-12-11,2,250,262,2644,3156
2016-12-17,5,25621,5657,96193,127471
2016-12-18,2,83,60,1008,1151
2016-12-21,1,3,11,193,207
2016-12-22,2,5338,932,24639,30909
2016-12-23,9,872,273,6222,7367
2016-12-24,15,6395,1059,26057,33511
2016-12-30,2,683,159,2511,3353
2016-12-31,4,1559,627,11402,13588
2017-01-05,1,3039,492,14760,18291
2017-01-06,1,84,28,262,374
2017-01-07,1,26,16,265,307
2017-01-08,3,1595,398,9837,11830
2017-01-10,1,32,36,271,339
2017-01-11,3,359,139,2456,2954
2017-01-12,8,2809,652,15884,19345
2017-01-14,2,6614,1176,37247,45037
2017-01-15,3,9526,805,42067,52398
2017-01-16,6,1257,443,9122,10822
2017-01-18,1,832,191,4137,5160
2017-01-19,8,4222,479,18090,22791
2017-01-21,6,2346,591,14713,17650
2017-01-22,8,1025,313,6364,7702
2017-01-23,1,30,13,317,360
2017-01-24,6,5323,769,14439,20531
2017-01-25,14,20936,4392,66042,91370
2017-01-27,2,5981,1258,21490,28729
2017-01-28,2,3208,632,12720,16560
2017-01-29,6,33196,6633,102461,142290
2017-01-30,6,14466,2381,33385,50232
2017-01-31,1,60,88,619,767
2017-02-02,1,46,53,559,658
2017-02-03,1,22714,4895,77702,105311
2017-02-04,17,30147,6150,146225,182522
